zip,lat,lgt
02650,41.700058043,-69.964036867
02652,42.0279665,-70.0842835
02653,41.781747604,-69.981914457
02655,41.632664259,-70.38471118
02657,42.052947696,-70.186255653
02659,41.680955552,-70.022542531
02660,41.708453339,-70.159269645
02661,41.6924,-70.0415
02662,41.7667,-69.9954
02664,41.668008826,-70.198443077
02666,42.0171704,-70.058247735
02667,41.927659036,-70.020036999
02668,41.70278924,-70.373050225
02669,41.6755,-70.0075
02670,41.661881542,-70.167153673
02671,41.666441232,-70.10929968
02672,41.6415,-70.3202
02673,41.656412804,-70.239459332
02675,41.706275027,-70.224280735
02702,41.796152046,-71.060458304
02703,41.931276299,-71.299053385
02712,41.9513,-71.2152
02715,41.817569343,-71.145504368
02717,41.762338068,-70.962643662
02718,41.871183557,-71.020055463
02719,41.639178908,-70.88736897
02720,41.720308231,-71.139037969
02721,41.688244061,-71.156463478
02722,41.700398,-71.154199
02723,41.692641518,-71.132794168
02724,41.685265447,-71.174039979
02725,41.723217373,-71.176737786
02726,41.755458363,-71.147824344
02738,41.708357927,-70.758820961
02739,41.661629203,-70.810701636
02740,41.635462351,-70.936939748
02741,41.636261,-70.927181
02742,41.636261,-70.927181
02743,41.701989558,-70.906828059
02744,41.613213113,-70.918349587
02745,41.690600799,-70.936109456
02746,41.66069381,-70.931215768
02747,41.642275581,-70.998006485
02748,41.590540329,-70.954441086
02760,41.976120195,-71.330181534
02761,41.981247677,-71.332743266
02762,42.011164632,-71.32511302
02763,41.96642523,-71.308929821
02764,41.849941012,-71.139317687
02766,41.970053553,-71.189247714
02767,41.928244385,-71.041440243
02769,41.84442486,-71.247255761
02770,41.752926836,-70.834822661
02771,41.836931222,-71.324123549
02777,41.747673128,-71.213004267
02779,41.835586035,-71.078716002
02780,41.904122125,-71.102235132
02790,41.615351078,-71.087092909
02804,41.423722585,-71.784292819
02806,41.744512733,-71.319321772
02808,41.403506569,-71.747407616
02809,41.683026589,-71.269769724
02812,41.473519487,-71.660467154
02813,41.389663501,-71.661964738
02814,41.904008035,-71.677616777
02815,41.773678413,-71.670608467
02816,41.690715481,-71.576240966
02817,41.64041378,-71.640691489
02818,41.651082352,-71.476562569
02822,41.56216603,-71.582652481
02825,41.783474087,-71.72252514
02827,41.702035646,-71.720605439
02828,41.87238842,-71.556879722
02830,41.972579995,-71.654409499
02831,41.741018207,-71.575325073
02832,41.506128995,-71.721245568
02833,41.473459775,-71.776382153
02835,41.512734285,-71.376122101
02836,41.450009673,-71.62040402
02837,41.513713238,-71.163643893
02838,41.968211121,-71.473684086
02839,41.947616199,-71.645395916
02840,41.489368469,-71.311526884
02842,41.517625971,-71.288537724
02852,41.589063489,-71.46032682
02857,41.836975957,-71.616695763
02858,41.961099182,-71.647805114
02859,41.96288816,-71.714698478
02860,41.873381885,-71.389845683
02861,41.879807018,-71.356678276
02862,41.88051,-71.385113
02863,41.88852989,-71.393672662
02864,41.949907543,-71.418268078
02865,41.907999392,-71.434055838
02871,41.593455919,-71.251267576
02874,41.512969111,-71.460191357
02875,41.453144121,-71.639849642
02876,41.999250887,-71.580789182
02877,41.533781563,-71.546181062
02878,41.633838812,-71.178213589
02879,41.428898064,-71.524920437
02880,41.439342,-71.486946
02881,41.480375651,-71.525709901
02882,41.428260224,-71.463995916
02883,41.439342,-71.486946
02885,41.726623096,-71.271438263
02886,41.703717341,-71.457569955
02887,41.699294,-71.455887
02888,41.750185934,-71.407924905
02889,41.710288111,-71.393791728
02891,41.361112064,-71.810098349
02892,41.509190478,-71.600237569
02893,41.701227989,-71.518052579
02894,41.442750939,-71.709433481
02895,42.003291382,-71.50522839
02896,41.986089191,-71.551133583
02898,41.518031838,-71.677771282
02901,41.825054,-71.414793
02903,41.822006126,-71.415075895
02904,41.859618023,-71.436872625
02905,41.787235954,-71.403691922
02906,41.836543601,-71.39538078
02907,41.799979281,-71.423762772
02908,41.837895456,-71.436076435
02909,41.817665935,-71.44812928
02910,41.776490144,-71.437542731
02911,41.854043691,-71.4752413
02914,41.813905649,-71.368649188
02915,41.772065229,-71.3545799
02916,41.842299582,-71.355316817
02917,41.890997544,-71.516100586
02919,41.826390809,-71.498294832
02920,41.77378084,-71.464466526
02921,41.766099872,-71.507171234
02940,41.8446,-71.4156
03031,42.858515168,-71.606452525
03032,42.994906184,-71.343051326
03033,42.74003795,-71.668101275
03034,43.058592086,-71.30805518
03036,42.967298621,-71.241067435
03037,43.137589327,-71.256629713
03038,42.888945596,-71.30362909
03042,43.045806259,-71.078123415
03043,42.993795201,-71.814652558
03044,42.986764646,-71.125468287
03045,43.017874075,-71.563211783
03046,43.102783473,-71.607457955
03047,42.940261329,-71.870067893
03048,42.747865504,-71.778305575
03049,42.745605698,-71.577518486
03051,42.765797762,-71.417998718
03052,42.842208213,-71.452201683
03053,42.869636744,-71.376089126
03054,42.863742909,-71.506248506
03055,42.827967088,-71.658180084
03057,42.896882425,-71.679526757
03060,42.743827445,-71.460572965
03061,42.76,-71.4652
